"ALB","United States of America","New York","Albany",6,55
"ALG","Chile","","Algarrobo",5,59
"ANF","Chile","","Antofagasta",7,56
"ANS","Saint Martin (French part)","","Annapolis",22,53
"ANT","United States of America","Arizona","Anthem",5,52
"AQA","Brazil","","ARARAQUARA",5,56
"AQP","Peru","","Arequipa",5,58
"ASU","Paraguay","","Asuncion",6,57
"AUA","Aruba","","Atascadero",5,56
"AXA","Anguilla","","Avon",7,57
"BBN","United States of America","Texas","Big Bend National Park",13,55
"BDA","Bermuda","","Bryce Canyon",9,58
"BEV","United States of America","California","Beverly Hills",6,54
"BGA","Colombia","","Bucaramanga",5,55
"BGI","Barbados","","Bucaramanga",7,54
"BHI","United States of America","Florida","Bay Harbor Islands",8,54
"BHM","Bahamas","","Baha Mar",6,58
"BKL","United States of America","New York","Brooklyn",7,56
"BLO","Saint Martin (French part)","","Blanding",21,54
"BNR","Bonaire, Sint Eustatius and Saba","","Banning",23,55
"BOO","United States of America","Maine","Boothbay",5,51
"BRB","Brazil","","Barreirinhas",6,53
"BRC","Argentina","","BARILOCHE",6,56
"BRW","United States of America","New Hampshire","Bretton Woods",8,56
"BSB","Brazil","","Brasilia",5,57
"BUF","United States of America","New York","Buffalo",6,55
"BXN","United States of America","New York","Bronx",6,55
"BZE","Belize","","Buzios",5,60
"CAP","United States of America","Florida","Captiva Island",5,53
"CAR","Venezuela (Bolivarian Republic of)","","CARACAS",25,54
"CBB","Bolivia (Plurinational State of)","","Campos",23,55
"CCG","United States of America","Florida","Coconut Grove",7,55
"CCP","Chile","","Concepcion",6,58
"CCS","Venezuela (Bolivarian Republic of)","","CARACAS AIRPORT MAIQUETIA",39,58
"CDC","United States of America","Arizona","Canyon De Chelly",10,52
"CDJ","Brazil","","Campos do Jordao",7,57
"CIW","Saint Vincent and the Grenadines","","Cedar Rapids",20,54
"CMP","Argentina","","Campana",5,56
"CNF","Brazil","","Belo Horizonte",7,56
"CNQ","Argentina","","Corrientes",6,53
"CON","Brazil","","CONCEICAO DA BARRA",10,54
"CRN","United States of America","New York","Corning",6,54
"CTG","Colombia","","Cartagena de Indias",11,53
"CUE","Ecuador","","Cartagena de Indias",12,52
"CUR","Curaçao","","Cancun",6,58
"CYP","United States of America","Arizona","Canyon Point",8,54
"CZA","Mexico","","Chichen Itza",7,57
"DAW","Sint Maarten (Dutch part)","","Davis",15,53
"EIS","Virgin Islands (British)","","Tortola",18,55
"ELM","United States of America","New York","Elmira",6,54
"EMV","United States of America","Colorado","Emerald Valley",7,54
"EXM","Bahamas","","Exuma",5,60
"EZE","Argentina","","Buenos Aires Aeropuerto",11,54
"FLN","Brazil","","Florianopolis",8,56
"FOR","Brazil","","Fortaleza",6,57
"FTE","Argentina","","El Calafate",6,55
"GAN","United States of America","","Fort Saskatchewan",10,54
"GCM","Cayman Islands","","Gillette",7,56
"GCN","United States of America","Arizona","Grand Canyon North Rim",11,56
"GCS","United States of America","Arizona","Grand Canyon South Rim",11,55
"GCW","United States of America","Arizona","Grand Canyon West",6,53
"GDL","Mexico","","Guadalajara",7,58
"GDN","United States of America","New York","Garden City",6,54
"GDT","Turks and Caicos Islands","","Garden City",12,53
"GIG","Brazil","","Rio De Janeiro",7,56
"GOY","Brazil","","CAMPOS DO GOYTACAZES",11,55
"GPS","Ecuador","","Baltra Island",7,55
"GRC","Saint Martin (French part)","","Green Bay",21,55
"GRU","Brazil","","Sao Paulo",5,59
"GYE","Ecuador","","GUAYAQUIL",5,57
"HII","United States of America","Arizona","Lake Havasu",5,54
"HLB","Mexico","","Holbox Island",9,57
"HLD","United States of America","","Holbox Island",5,56
"HYD","United States of America","New York","Hyde Park",6,52
"IAG","United States of America","New York","Niagara Falls",6,53
"IGU","Brazil","","Foz Do Iguacu",5,59
"ILH","Brazil","","Ilhabela",5,58
"INT","United States of America","South Dakota","Interior",5,54
"ISJ","Mexico","","Isla Mujeres",7,56
"JCO","Costa Rica","","Jaco Beach",5,57
"JHI","United States of America","South Carolina","Johns Island",6,55
"JOI","Brazil","","Joinville",6,58
"KBS","United States of America","Florida","Key Biscayne",7,53
"KIS","United States of America","Florida","Orlando (Kissimmee)",10,55
"KOA","United States of America","Hawaii","Big Island",7,54
"LAV","United States of America","Nevada","Downtown Las Vegas",6,54
"LDB","Brazil","","Londrina",5,57
"LEW","United States of America","New York","Lewiston",6,53
"LGA","United States of America","","La Fortuna",6,53
"LIC","United States of America","New York","Long Island City",8,56
"LKG","United States of America","New York","Lake George",6,53
"LKP","United States of America","Arizona","Lake Powell",7,55
"LNY","United States of America","Hawaii","Lanai City",6,53
"LOB","United States of America","New York","Long Beach",7,56
"LPB","Bolivia (Plurinational State of)","","LONE PINE",26,56
"LPS","United States of America","Texas","Lost Pines",5,52
"LUQ","Argentina","","San Luis",5,56
"MAH","Sint Maarten (Dutch part)","","Madera",16,54
"MAR","Venezuela (Bolivarian Republic of)","","MARACAIBO",25,53
"MCV","United States of America","Kentucky","Mammoth Cave",7,54
"MDQ","Argentina","","Mar de Plata",8,55
"MDR","United States of America","","Mar de Plata",6,52
"MDV","United States of America","","Mar de Plata",6,52
"MED","Colombia","","Medellin",6,58
"MEX","Mexico","","Mexico City",8,59
"MID","Mexico","","Merida",5,58
"MOV","United States of America","Utah","Monument Valley",8,53
"MRL","United States of America","Arizona","Mormon Lake",6,52
"MTY","Mexico","","Monterrey",7,58
"MVD","Uruguay","","Montevideo",7,58
"MZT","Mexico","","Mazatlan",5,58
"NEG","Jamaica","","Negril",5,59
"NHD","United States of America","California","North Hollywood",6,57
"NIE","Curaçao","","Brunswick",9,58
"NRY","United States of America","Colorado","New Raymer",5,54
"NYC","United States of America","New York",".New York",6,54
"OSA","Brazil","","Osasco",5,59
"PAP","Haiti","","Ville",5,61
"PCM","Mexico","","Playa del Carmen",9,56
"PDP","Uruguay","","Punta del Este",10,54
"PET","Saint Vincent and the Grenadines","","Petit Island",16,55
"PLS","Turks and Caicos Islands","","Plano",11,55
"PMA","Argentina","","Puerto Madryn",6,53
"PMP","Costa Rica","","Playa Mal Pais",6,55
"PNA","Chile","","PUERTO NATALES",10,53
"PNZ","Brazil","","Petrolina",5,57
"POA","Brazil","","Porto Alegre",5,56
"POS","Haiti","","Puerto Plata",7,57
"POT","Costa Rica","","Puerto Plata",5,55
"POU","United States of America","New York","Poughkeepsie",6,54
"PTY","Panama","","Panama City",6,57
"PUQ","Chile","","PUNTA ARENAS",7,55
"PUX","Chile","","PUERTO VARAS",9,55
"PVR","Mexico","","Puerto Vallarta",7,55
"PZL","Costa Rica","","Pleasanton",5,56
"QUI","Saint Martin (French part)","","Lake Quinault",24,56
"REC","Brazil","","Recife",5,58
"RIK","Costa Rica","","Playa Carrillo",8,56
"ROC","United States of America","New York","Rochester",6,53
"ROO","Brazil","","Rondonopolis",8,57
"ROS","Argentina","","Rosario",5,56
"RVH","United States of America","New York","Riverhead",6,54
"SAL","El Salvador","","San Luis Talpa",6,53
"SBH","Saint Barthélemy","","Seal Beach",11,57
"SDA","Brazil","","Angra Dos Reis",8,54
"SDQ","Dominican Republic","","Santo Domingo",6,55
"SER","Brazil","","Sertaozinho",7,56
"SET","Canada","Quebec","Stoneham et Tewke",9,53
"SHN","United States of America","Virginia","Shenandoah National Park",13,56
"SHP","United States of America","New York","Southhampton",6,55
"SJD","Mexico","","Los Cabos",7,59
"SJO","Costa Rica","","San Jose",5,56
"SJP","Brazil","","SAO JOSE DO RIO PRETO",9,55
"SKB","Virgin Islands (British)","","St. Kitts",20,55
"SLU","Saint Lucia","","Salem",6,57
"SLZ","Brazil","","Sao Luis",5,58
"SMC","Argentina","","San Miguel de Tucuman",8,55
"SMT","Colombia","","Santa Marta",6,55
"SPK","Canada","Ontario","Sun Peaks",5,54
"SRE","Bolivia (Plurinational State of)","","Wichita Falls",29,56
"SRZ","Bolivia (Plurinational State of)","","Sarasota",25,55
"SSA","Brazil","","Salvador de Bahia",10,55
"SSX","Saint Martin (French part)","","Seaside",20,52
"STJ","Virgin Islands (U.S.)","","St. John",16,57
"STN","United States of America","New York","Stonybrook",6,55
"STS","United States of America","","Sonoma County Santa Rosa",12,53
"STT","Virgin Islands (U.S.)","","St. Thomas",14,55
"STX","Virgin Islands (U.S.)","","St Croix",13,56
"SVD","Saint Vincent and the Grenadines","","Silver City",17,55
"SXM","Sint Maarten (Dutch part)","","Spicewood",19,56
"TAB","Trinidad and Tobago","","South Yarmouth",9,55
"TAM","Costa Rica","","TAMARINDO",5,54
"TDP","Chile","","Torres del Paine",10,56
"TRE","Canada","Quebec","Tremblant",5,54
"TRH","Argentina","","Termas de Rio Hondo",13,56
"TRU","Peru","","Trujillo",6,60
"TVL","United States of America","California","Lake Tahoe",6,54
"UDI","Brazil","","Uberlandia",6,56
"UTI","United States of America","New York","Utica",6,54
"VAP","Chile","","Valparaiso",7,57
"VIJ","Virgin Islands (British)","","Virgin Gorda",18,54
"VIL","Brazil","","Vila Velha",6,57
"WAD","United States of America","New York","Wading River",6,53
"WDW","United States of America","Florida","Walt Disney World",11,54
"WEE","United States of America","New Jersey","Weehawken",5,53
"WHD","United States of America","California","West Hollywood",7,57
"WPT","United States of America","New York","West Point",6,54
"YCL","Canada","","Liverpool",7,59
"YEL","United States of America","Wyoming","Yellowstone",6,52
"YQB","Canada","","Quebec",5,57
